Sex,Age,Height,Weight,Sport,Medal
F,14,165,59,Tir à l'arc,L
F,14,165,59,Tir à l'arc,G
F,14,164,61,Tir à l'arc,L
M,15,175,70,Tir à l'arc,L
M,16,157,48,Tir à l'arc,L
M,16,157,48,Tir à l'arc,L
F,16,163,57,Tir à l'arc,L
M,16,170,58,Tir à l'arc,L
F,16,165,59,Tir à l'arc,L
M,16,174,60,Tir à l'arc,L
F,16,162,63,Tir à l'arc,L
F,16,171,75,Tir à l'arc,L
F,16,171,75,Tir à l'arc,L
M,16,183,88,Tir à l'arc,L
M,16,185,113,Tir à l'arc,L
F,17,160,50,Tir à l'arc,L
F,17,165,53,Tir à l'arc,L
F,17,165,53,Tir à l'arc,L
F,17,167,55,Tir à l'arc,G
F,17,167,55,Tir à l'arc,G
F,17,164,56,Tir à l'arc,L
F,17,165,58,Tir à l'arc,G
F,17,165,58,Tir à l'arc,G
M,17,181,60,Tir à l'arc,L
F,17,176,61,Tir à l'arc,L
F,17,176,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,171,61,Tir à l'arc,L
F,17,159,61,Tir à l'arc,L
F,17,159,61,Tir à l'arc,L
F,17,165,66,Tir à l'arc,L
F,17,171,67,Tir à l'arc,G
F,17,155,67,Tir à l'arc,L
F,17,155,67,Tir à l'arc,L
M,17,175,68,Tir à l'arc,L
M,17,173,68,Tir à l'arc,L
F,17,170,68,Tir à l'arc,G
F,17,170,68,Tir à l'arc,G
F,17,166,69,Tir à l'arc,L
M,17,190,71,Tir à l'arc,L
M,17,178,71,Tir à l'arc,L
F,17,175,74,Tir à l'arc,L
F,17,175,74,Tir à l'arc,L
M,17,189,77,Tir à l'arc,L
M,17,182,77,Tir à l'arc,L
M,17,182,77,Tir à l'arc,L
F,17,185,80,Tir à l'arc,L
F,17,185,80,Tir à l'arc,G
M,17,184,84,Tir à l'arc,G
M,17,184,84,Tir à l'arc,L
M,17,178,84,Tir à l'arc,L
M,17,178,84,Tir à l'arc,G
M,17,190,92,Tir à l'arc,L
F,18,160,43,Tir à l'arc,L
F,18,160,43,Tir à l'arc,L
F,18,167,50,Tir à l'arc,L
F,18,164,50,Tir à l'arc,L
F,18,164,50,Tir à l'arc,L
F,18,160,52,Tir à l'arc,L
F,18,160,52,Tir à l'arc,L
F,18,158,53,Tir à l'arc,L
F,18,158,53,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,167,54,Tir à l'arc,L
F,18,174,55,Tir à l'arc,L
F,18,170,55,Tir à l'arc,L
F,18,156,56,Tir à l'arc,L
F,18,169,57,Tir à l'arc,L
F,18,163,57,Tir à l'arc,L
F,18,163,57,Tir à l'arc,L
M,18,172,58,Tir à l'arc,L
M,18,172,58,Tir à l'arc,L
M,18,176,59,Tir à l'arc,L
F,18,165,59,Tir à l'arc,L
F,18,165,59,Tir à l'arc,L
M,18,183,60,Tir à l'arc,L
F,18,164,61,Tir à l'arc,G
F,18,164,61,Tir à l'arc,L
F,18,163,61,Tir à l'arc,L
F,18,163,61,Tir à l'arc,L
F,18,166,62,Tir à l'arc,G
F,18,170,64,Tir à l'arc,L
F,18,170,64,Tir à l'arc,G
F,18,170,64,Tir à l'arc,L
F,18,170,64,Tir à l'arc,L
F,18,166,64,Tir à l'arc,G
F,18,166,64,Tir à l'arc,G
M,18,176,66,Tir à l'arc,L
M,18,176,67,Tir à l'arc,L
M,18,180,69,Tir à l'arc,G
M,18,180,69,Tir à l'arc,G
F,18,176,70,Tir à l'arc,L
M,18,171,70,Tir à l'arc,L
M,18,171,70,Tir à l'arc,L
M,18,175,71,Tir à l'arc,L
M,18,175,71,Tir à l'arc,L
M,18,183,72,Tir à l'arc,L
M,18,182,72,Tir à l'arc,L
M,18,176,72,Tir à l'arc,L
M,18,189,73,Tir à l'arc,G
M,18,174,74,Tir à l'arc,L
M,18,193,75,Tir à l'arc,L
M,18,193,75,Tir à l'arc,L
M,18,178,77,Tir à l'arc,G
M,18,175,77,Tir à l'arc,L
M,18,175,77,Tir à l'arc,L
M,18,172,78,Tir à l'arc,L
M,18,172,78,Tir à l'arc,L
M,18,197,80,Tir à l'arc,L
M,18,197,80,Tir à l'arc,L
F,18,175,81,Tir à l'arc,L
F,18,175,81,Tir à l'arc,L
M,18,185,82,Tir à l'arc,L
M,18,185,82,Tir à l'arc,L
M,18,186,83,Tir à l'arc,L
M,18,196,85,Tir à l'arc,L
M,18,196,85,Tir à l'arc,L
M,18,182,85,Tir à l'arc,L
F,18,167,89,Tir à l'arc,L
F,18,167,89,Tir à l'arc,L
M,18,183,90,Tir à l'arc,L
M,18,183,90,Tir à l'arc,L
M,18,175,90,Tir à l'arc,L
M,18,181,95,Tir à l'arc,L
M,18,180,100,Tir à l'arc,G
M,18,180,100,Tir à l'arc,G
M,18,178,125,Tir à l'arc,L
M,18,178,125,Tir à l'arc,L
F,19,167,45,Tir à l'arc,L
F,19,161,48,Tir à l'arc,L
F,19,161,48,Tir à l'arc,L
F,19,175,52,Tir à l'arc,L
F,19,175,52,Tir à l'arc,L
F,19,165,52,Tir à l'arc,L
F,19,168,54,Tir à l'arc,L
F,19,168,54,Tir à l'arc,L
F,19,165,54,Tir à l'arc,L
F,19,164,54,Tir à l'arc,L
F,19,170,55,Tir à l'arc,L
F,19,170,55,Tir à l'arc,L
F,19,166,55,Tir à l'arc,L
F,19,166,55,Tir à l'arc,L
F,19,160,56,Tir à l'arc,L
F,19,157,56,Tir à l'arc,L
F,19,172,57,Tir à l'arc,L
F,19,171,57,Tir à l'arc,L
F,19,166,57,Tir à l'arc,L
F,19,164,57,Tir à l'arc,L
F,19,164,57,Tir à l'arc,L
F,19,168,58,Tir à l'arc,L
F,19,168,58,Tir à l'arc,L
F,19,170,59,Tir à l'arc,L
F,19,169,59,Tir à l'arc,L
F,19,169,59,Tir à l'arc,L
F,19,165,59,Tir à l'arc,L
M,19,174,60,Tir à l'arc,L
F,19,168,60,Tir à l'arc,L
F,19,167,60,Tir à l'arc,L
F,19,167,60,Tir à l'arc,L
M,19,172,62,Tir à l'arc,L
M,19,172,62,Tir à l'arc,L
M,19,171,62,Tir à l'arc,L
M,19,171,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,169,62,Tir à l'arc,L
F,19,168,62,Tir à l'arc,L
F,19,168,62,Tir à l'arc,G
F,19,165,62,Tir à l'arc,L
M,19,180,63,Tir à l'arc,L
M,19,180,63,Tir à l'arc,L
F,19,176,63,Tir à l'arc,L
F,19,176,63,Tir à l'arc,G
M,19,180,64,Tir à l'arc,L
M,19,180,64,Tir à l'arc,G
M,19,169,64,Tir à l'arc,L
M,19,169,64,Tir à l'arc,L
F,19,168,64,Tir à l'arc,L
F,19,168,64,Tir à l'arc,L
M,19,184,65,Tir à l'arc,L
M,19,174,65,Tir à l'arc,L
M,19,174,65,Tir à l'arc,L
M,19,173,65,Tir à l'arc,L
M,19,173,65,Tir à l'arc,L
F,19,164,65,Tir à l'arc,G
F,19,164,65,Tir à l'arc,G
M,19,182,66,Tir à l'arc,L
M,19,175,67,Tir à l'arc,L
M,19,175,67,Tir à l'arc,L
M,19,175,68,Tir à l'arc,G
F,19,170,68,Tir à l'arc,G
F,19,170,68,Tir à l'arc,L
F,19,183,69,Tir à l'arc,L
F,19,183,69,Tir à l'arc,L
M,19,171,69,Tir à l'arc,L
F,19,162,69,Tir à l'arc,L
M,19,171,70,Tir à l'arc,L
M,19,171,70,Tir à l'arc,L
M,19,170,70,Tir à l'arc,L
M,19,180,72,Tir à l'arc,L
M,19,180,72,Tir à l'arc,L
F,19,173,72,Tir à l'arc,L
F,19,173,72,Tir à l'arc,L
